61,,70,,212,,221,,356,,370,,512,,518
60,,71,,211,,222,,355,,371,,511,,
,,72,,,,,,354,,,,,,529
57,,,,207,,228,,353,,377,,506,,530
56,,77,,206,,229,,,,378,,505,,531
55,,78,,205,,230,,347,,379,,504,,
54,,79,,204,,,,346,,,,,,537
,,,,,,236,,345,,384,,498,,538
49,,85,,199,,237,,,,385,,497,,539
48,,86,,198,,238,,341,,386,,496,,
47,,87,,197,,,,340,,,,,,544
46,,,,196,,243,,339,,393,,491,,545
,,93,,,,244,,338,,394,,490,,546
42,,94,,192,,245,,,,,,489,,
41,,95,,191,,,,330,,403,,,,556
40,,,,190,,254,,329,,404,,480,,557
39,,106,,189,,255,,328,,405,,479,,558
,,107,,,,256,,327,,,,478,,
31,,108,,180,,,,,,416,,477,,568
30,,,,179,,266,,317,,417,,,,569
29,,116,,178,,267,,316,,418,,469,,570
28,,117,,177,,268,,315,,,,468,,
,,118,,,,,,314,,424,,467,,576
18,,,,168,,275,,,,425,,466,,577
17,,130,,167,,276,,308,,,,,,
16,,131,,166,,,,307,,429,,459,,582
15,,132,,165,,280,,306,,430,,458,,
,,,,,,281,,,,431,,,,
12,,,,160,,282,,304,,,,,,
11,,,,159,,,,303,,,,,,
10,,,,158,,,,302,,,,,,
,,,,,,,,301,,,,,,
6,,,,154,,,,,,,,,,
5,,,,153,,,,,,,,,,
4,,,,152,,,,,,,,,,
3,,,,151,,,,,,,,,,
