,,686,,28,,645,,1266PT,,71004,,779,,2955
,,63938,,20956,,2950,,3564,,758,,264,,
,,9244,,,,,,7210,,,,,,5922
,,,,2988,,645,,692,,80769,,408,,9013PU
,,813,,A-08,,2950,,,,758,,591,,61723
2954,,63938,,A-01,,766,,1266PU,,1401,,3516,,
60835,,1302,,152,,,,603,,,,,,202395
,,,,,,        627FB,,901,,80769,,3569,,202339
63786,,202365,,2988,,2950,,,,6038,,591,,15-20
866,,63938,,92234,,36,,1266PU,,6724,,3516,,
1422,,6537,,369,,,,6042,,,,,,2568
290,,,,89451,,        627FB,,928,,2029,,1160,,1310-30
,,713,,1735,,1307,,63771,,6038,,075-24,,402
92490,,202317,,,,97,,,,2973,,9013FB,,
86912,,63225,,075-30,,,,6041,,,,,,2068
2315,,,,16269,,1903,,6042,,2029,,2088,,2188FB
770,,713,,369,,472,,1310-36,,711,,075-24,,402
,,1302,,97,,3303,,3687,,2973,,9013FB,,
1403,,63225,,,,,,,,,,5143,,645
86912,,,,075-30,,1903,,1177N,,1302,,,,2188PU
2988PU,,369-36,,16269,,472,,842,,711,,2294,,2286
1293,,1302,,627,,92234,,1611,,2973,,5636,,
,,025-36,,2025,,70972,,11388,,,,9013FB,,1177FB
33811,,,,,,H058,,,,1302,,5143,,886
3008,,369-36,,3608,,202304,,1693,,1302,,,,
2988,,1356,,233,,,,842,,20240,,2294,,1177PU
15290,,296,,14748,,H058,,63881,,,,93595,,
,,,,70972,,3944,,,,3635,,,,
3543,,,,,,202334,,3509,,1693,,,,
1291,,,,3608,,4141,,3567,,3546,,,,
1291,,,,8320,,,,63881,,,,,,
337,,,,1056,,,,90,,,,,,
,,,,,,,,,,,,,,
16256,,,,6039,,,,,,,,,,
712,,,,8320,,,,,,,,,,
20184,,,,1056,,,,,,,,,,
,,,,70972,,,,,,,,,,
16256,,,,,,,,,,,,,,
712,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,
60835,,,,,,,,,,,,,,
